pi,pi_window,issue_number,issue_title,issue_url,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 27.2,2026-10-18 to 2027-01-16,51,[PM]-[Objective 42]: Metadata schema v3,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/51,Alice Nguyen,PM,0.5,2026-11-03,2026-12-06,0.37,0.19
PI 27.2,2026-10-18 to 2027-01-16,51,[PM]-[Objective 42]: Metadata schema v3,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/51,Devon Lee,Frontend,0.8,2026-11-03,2026-12-06,0.37,0.3
PI 27.2,2026-10-18 to 2027-01-16,51,[PM]-[Objective 42]: Metadata schema v3,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/51,Liam Walsh,Data Curator,1.0,2026-11-03,2026-12-06,0.37,0.37
PI 27.2,2026-10-18 to 2027-01-16,51,[PM]-[Objective 42]: Metadata schema v3,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/51,Priya Patel,Data Curator,0.5,2026-11-03,2026-12-06,0.37,0.19
PI 27.2,2026-10-18 to 2027-01-16,51,[PM]-[Objective 42]: Metadata schema v3,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/51,Sofia Rossi,PM,0.6,2026-11-03,2026-12-06,0.37,0.22
PI 27.2,2026-10-18 to 2027-01-16,52,[Frontend]-[Objective 43]: Alerting pipeline,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/52,Alice Nguyen,PM,0.8,2026-10-18,2027-01-16,1.0,0.8
PI 27.2,2026-10-18 to 2027-01-16,52,[Frontend]-[Objective 43]: Alerting pipeline,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/52,Carla Diaz,Geospatial,0.8,2026-10-18,2027-01-16,1.0,0.8
PI 27.2,2026-10-18 to 2027-01-16,52,[Frontend]-[Objective 43]: Alerting pipeline,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/52,Devon Lee,Frontend,0.1,2026-10-18,2027-01-16,1.0,0.1
PI 27.2,2026-10-18 to 2027-01-16,52,[Frontend]-[Objective 43]: Alerting pipeline,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/52,Morgan Reyes,Jupyterhub,0.5,2026-10-18,2027-01-16,1.0,0.5
PI 27.2,2026-10-18 to 2027-01-16,52,[Frontend]-[Objective 43]: Alerting pipeline,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/52,Yuki Tanaka,ML,0.3,2026-10-18,2027-01-16,1.0,0.3
PI 27.2,2026-10-18 to 2027-01-16,53,[ML]-[Objective 44]: Cloud cost monitoring,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/53,Elena Petrova,Designer,0.4,2026-11-29,2027-01-11,0.48,0.19
PI 27.2,2026-10-18 to 2027-01-16,53,[ML]-[Objective 44]: Cloud cost monitoring,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/53,Morgan Reyes,Jupyterhub,0.8,2026-11-29,2027-01-11,0.48,0.39
PI 27.2,2026-10-18 to 2027-01-16,53,[ML]-[Objective 44]: Cloud cost monitoring,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/53,Sam Okoro,ML,0.4,2026-11-29,2027-01-11,0.48,0.19
PI 27.2,2026-10-18 to 2027-01-16,53,[ML]-[Objective 44]: Cloud cost monitoring,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/53,Sofia Rossi,PM,0.6,2026-11-29,2027-01-11,0.48,0.29
PI 27.2,2026-10-18 to 2027-01-16,53,[ML]-[Objective 44]: Cloud cost monitoring,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/53,Yuki Tanaka,ML,0.5,2026-11-29,2027-01-11,0.48,0.24
PI 27.2,2026-10-18 to 2027-01-16,54,[Data Curator]-[Objective 45]: Wildfire severity model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/54,Elena Petrova,Designer,0.6,2026-10-18,2027-01-16,1.0,0.6
PI 27.2,2026-10-18 to 2027-01-16,54,[Data Curator]-[Objective 45]: Wildfire severity model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/54,Sam Okoro,ML,0.25,2026-10-18,2027-01-16,1.0,0.25
PI 27.2,2026-10-18 to 2027-01-16,56,[ML]-[Objective 47]: Onboarding revamp,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/56,Liam Walsh,Data Curator,0.4,2026-10-18,2027-01-16,1.0,0.4
PI 27.2,2026-10-18 to 2027-01-16,57,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/57,Elena Petrova,Designer,0.25,2026-10-18,2027-01-16,1.0,0.25
PI 27.2,2026-10-18 to 2027-01-16,57,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/57,Morgan Reyes,Jupyterhub,0.2,2026-10-18,2027-01-16,1.0,0.2
PI 27.2,2026-10-18 to 2027-01-16,57,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/57,Rae Thompson,Frontend,0.8,2026-10-18,2027-01-16,1.0,0.8
PI 27.2,2026-10-18 to 2027-01-16,57,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/57,Sam Okoro,ML,0.3,2026-10-18,2027-01-16,1.0,0.3
PI 27.2,2026-10-18 to 2027-01-16,57,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/57,Taylor Brooks,Comms,0.75,2026-10-18,2027-01-16,1.0,0.75
PI 27.2,2026-10-18 to 2027-01-16,58,[Data Curator]-[Objective 49]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/58,Elena Petrova,Designer,0.3,2026-10-18,2027-01-16,1.0,0.3
PI 27.2,2026-10-18 to 2027-01-16,58,[Data Curator]-[Objective 49]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/58,Jordan Kim,Designer,0.25,2026-10-18,2027-01-16,1.0,0.25
PI 27.2,2026-10-18 to 2027-01-16,58,[Data Curator]-[Objective 49]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/58,Nadia Hassan,Backend,0.1,2026-10-18,2027-01-16,1.0,0.1
PI 27.2,2026-10-18 to 2027-01-16,58,[Data Curator]-[Objective 49]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/58,Sam Okoro,ML,0.4,2026-10-18,2027-01-16,1.0,0.4
PI 27.2,2026-10-18 to 2027-01-16,58,[Data Curator]-[Objective 49]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/58,Sofia Rossi,PM,0.3,2026-10-18,2027-01-16,1.0,0.3
PI 27.2,2026-10-18 to 2027-01-16,59,[PM]-[Objective 50]: Latency profiling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/59,Taylor Brooks,Comms,0.6,2026-11-17,2027-01-16,0.67,0.4
